M15, stop 1.0xATR, TP 2.0R, horizon 96 bars

=== BTCUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  displacement            BUY    4.6%    1072   35.4%   +2.9%   -0.031   +0.088
  session_london          BUY   20.9%    4831   34.1%   +1.7%   -0.070   +0.050
  session_asia           SELL   33.4%    7724   35.5%   +1.4%   -0.026   +0.041
  htf_aligned            SELL   51.0%   11814   35.4%   +1.2%   -0.030   +0.036
  htf_aligned             BUY   45.5%   10543   33.2%   +0.8%   -0.095   +0.024
  displacement           SELL    4.8%    1102   34.8%   +0.6%   -0.049   +0.018
  fvg                    SELL    6.3%    1465   34.7%   +0.5%   -0.051   +0.015
  fvg                     BUY    6.4%    1481   32.6%   +0.2%   -0.113   +0.006
  wick_reject            SELL   19.7%    4554   34.3%   +0.1%   -0.063   +0.003
  sweep_low               BUY    4.8%    1110   32.4%   +0.0%   -0.119   +0.001
  _BASELINE               BUY  100.0%   23160   32.4%   +0.0%   -0.119   +0.000
  _BASELINE              SELL  100.0%   23160   34.2%   +0.0%   -0.067   +0.000
  session_ny              BUY   20.8%    4822   32.4%   -0.0%   -0.120   -0.001
  session_london         SELL   20.9%    4831   34.1%   -0.1%   -0.070   -0.003
  session_asia            BUY   33.4%    7724   32.2%   -0.2%   -0.126   -0.006
  premium                SELL   39.9%    9245   33.6%   -0.5%   -0.082   -0.016
  discount                BUY   37.0%    8579   31.6%   -0.8%   -0.145   -0.025
  wick_reject             BUY   19.8%    4590   31.5%   -0.9%   -0.147   -0.027
  retest                 SELL   23.0%    5328   33.2%   -0.9%   -0.094   -0.028
  session_ny             SELL   20.8%    4822   33.0%   -1.2%   -0.102   -0.035
  bos                     BUY   10.8%    2492   31.1%   -1.3%   -0.159   -0.039
  sweep_high             SELL    4.7%    1099   32.5%   -1.7%   -0.117   -0.051
  retest                  BUY   21.9%    5065   30.2%   -2.2%   -0.187   -0.067
  bos                    SELL   11.1%    2572   31.3%   -2.9%   -0.154   -0.087

=== ETHUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  session_london          BUY   20.9%    4831   35.4%   +3.1%   -0.142   +0.092
  displacement            BUY    4.2%     967   34.7%   +2.4%   -0.161   +0.073
  volspike                BUY    7.1%    1653   34.6%   +2.3%   -0.165   +0.068
  session_asia           SELL   33.4%    7724   35.9%   +1.8%   -0.127   +0.055
  displacement           SELL    4.2%     979   35.6%   +1.6%   -0.134   +0.048
  session_ny              BUY   20.8%    4822   33.6%   +1.3%   -0.194   +0.039
  htf_aligned             BUY   42.9%    9935   33.6%   +1.3%   -0.195   +0.038
  sweep_high             SELL    4.2%     973   35.0%   +1.0%   -0.152   +0.030
  htf_aligned            SELL   53.6%   12422   34.7%   +0.6%   -0.162   +0.019
  fvg                    SELL    5.8%    1349   34.5%   +0.5%   -0.167   +0.015
  retest                 SELL   21.5%    4980   34.5%   +0.4%   -0.169   +0.013
  discount                BUY   35.8%    8300   32.5%   +0.2%   -0.227   +0.006
  fvg                     BUY    6.0%    1392   32.5%   +0.1%   -0.229   +0.004
  _BASELINE               BUY  100.0%   23160   32.3%   +0.0%   -0.233   +0.000
  _BASELINE              SELL  100.0%   23160   34.1%   +0.0%   -0.181   +0.000
  wick_reject             BUY   20.9%    4831   32.3%   -0.1%   -0.235   -0.002
  premium                SELL   38.9%    9013   33.7%   -0.3%   -0.191   -0.009
  sweep_low               BUY    4.6%    1073   32.0%   -0.4%   -0.244   -0.011
  bos                     BUY    9.8%    2262   31.9%   -0.4%   -0.245   -0.012
  retest                  BUY   21.2%    4906   31.9%   -0.4%   -0.247   -0.013
  wick_reject            SELL   20.6%    4762   33.6%   -0.5%   -0.196   -0.014
  session_london         SELL   20.9%    4831   33.0%   -1.1%   -0.214   -0.032
  bos                    SELL   10.0%    2306   32.8%   -1.2%   -0.218   -0.037
  session_ny             SELL   20.8%    4822   32.7%   -1.4%   -0.222   -0.041
  volspike               SELL    7.0%    1627   32.3%   -1.7%   -0.233   -0.052
  session_asia            BUY   33.4%    7724   30.3%   -2.0%   -0.293   -0.060

=== SOLUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
  volspike                BUY    8.1%    1866   34.8%   +3.0%   -0.349   +0.089
  displacement            BUY    4.6%    1072   34.0%   +2.2%   -0.373   +0.066
  session_ny              BUY   20.8%    4822   33.9%   +2.1%   -0.376   +0.062
  displacement           SELL    4.8%    1120   36.0%   +1.8%   -0.315   +0.053
  session_asia           SELL   33.4%    7724   35.7%   +1.5%   -0.324   +0.044
  sweep_low               BUY    4.5%    1053   32.7%   +0.8%   -0.414   +0.024
  fvg                     BUY    6.4%    1478   32.5%   +0.7%   -0.418   +0.020
  session_london          BUY   20.9%    4831   32.5%   +0.6%   -0.419   +0.019
  bos                     BUY   10.3%    2387   31.9%   +0.1%   -0.436   +0.002
  fvg                    SELL    6.4%    1480   34.3%   +0.0%   -0.366   +0.001
  _BASELINE               BUY  100.0%   23160   31.9%   +0.0%   -0.438   +0.000
  _BASELINE              SELL  100.0%   23160   34.2%   +0.0%   -0.368   +0.000
  htf_aligned            SELL   52.5%   12148   34.1%   -0.1%   -0.371   -0.003
  sweep_high             SELL    4.5%    1034   33.9%   -0.3%   -0.376   -0.008
  htf_aligned             BUY   44.1%   10209   31.5%   -0.4%   -0.451   -0.012
  wick_reject            SELL   20.6%    4760   33.3%   -0.9%   -0.396   -0.028
  premium                SELL   39.0%    9042   33.2%   -1.0%   -0.397   -0.029
  retest                 SELL   22.7%    5263   33.2%   -1.0%   -0.398   -0.031
  session_london         SELL   20.9%    4831   33.1%   -1.1%   -0.402   -0.034
  discount                BUY   38.3%    8874   30.5%   -1.4%   -0.480   -0.041
  wick_reject             BUY   20.9%    4843   30.4%   -1.5%   -0.484   -0.045
  retest                  BUY   22.8%    5269   30.3%   -1.6%   -0.487   -0.048
  session_asia            BUY   33.4%    7724   30.1%   -1.7%   -0.491   -0.052
  session_ny             SELL   20.8%    4822   31.9%   -2.3%   -0.437   -0.069
  volspike               SELL    7.8%    1796   31.7%   -2.5%   -0.444   -0.076
  bos                    SELL   10.7%    2475   31.7%   -2.5%   -0.444   -0.076

=== XRPUSD
  atom                    dir   fires       n   P(2R)    lift     expR  liftExp
